Drive Name,Drive Date/Time,Drive Link
1201 Third Avenue,"03/05/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70462
Westlake Tower,"03/07/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74907
EvergreenHealth Kirkland,"03/08/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70534
UW Health Sciences,"03/08/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71633
Lily’s Blood Drive,"03/09/2024
10:45 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76166
One and Two Union Square,"03/11/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70408
Adobe,"03/13/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76290
Bothell Community,"03/13/2024
9:30 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76187
Sequoyah Electric,"03/14/2024
8:00 am - 2:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76293
UW Health Sciences,"03/15/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71634
UW Health Sciences,"03/18/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71635
Fircrest School - WA State of Social & Health Services Dept,"03/19/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71791
Pop-Up @ Amazon Seattle,"03/21/2024
10:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69095
Holy Family-Kirkland,"03/22/2024
8:00 am - 2:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74083
Union Hill Church - Redmond,"03/22/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69327
Pop-Up @ Amazon Seattle,"03/22/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69096
Walgreens Woodinville,"03/23/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76088
Cornerstone Christian Fellowship,"03/25/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76089
Woodinville Unitarian Universalist Church,"03/25/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68152
UW Health Sciences,"03/25/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71636
Woodinville Unitarian Universalist Church,"03/26/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68153
Providence Swedish Ballard,"03/26/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76080
Woodinville Unitarian Universalist Church,"03/27/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68154
King Street Center,"03/27/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/77558
400 Fairview Ave Building,"03/28/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70463
901 Fifth Avenue Building,"03/28/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70436
Monolith Productions,"03/29/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76069
Seattle School District John Stanford Center for Educational Excellence,"03/29/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76169
UW HUB,"03/29/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71659
Mana America Telugu Association Seattle,"03/30/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73605
UW Health Sciences,"04/01/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71637
Lake Forest Park Town Center,"04/01/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73740
Seattle Opera,"04/01/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73060
Bellevue Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/1
North Seattle Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/7
Seattle Central Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/10
