Drive Name,Drive Date/Time,Drive Link
KOMO Plaza,"02/02/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74175
UW Ethnic Cultural Center,"02/02/2024
10:15 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73582
Kenworth Kirkland,"02/05/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73448
UW Health Sciences,"02/05/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71629
Pop-Up @ UW Tower,"02/06/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68901
St Louise Catholic Church,"02/06/2024
12:00 pm - 6:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70964
Bellefield Office Park,"02/07/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74855
Pop-Up @ UW Tower,"02/07/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68902
Rainier Tower,"02/07/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70421
Pop-Up @ UW Tower,"02/08/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68903
Rainier Tower,"02/08/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70422
EvergreenHealth Kirkland,"02/08/2024
11:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70466
Pop-Up @ Church of the Holy Cross,"02/09/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68802
Pop-Up @ Church of the Holy Cross,"02/10/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68803
Greenpoint Technologies,"02/12/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/75695
One and Two Union Square,"02/12/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71400
UW Bothell/Cascadia College,"02/12/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73344
"Swedish Medical Center, Cherry Hill Campus","02/12/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70458
UW Hans Rosling Center for Population Health,"02/13/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74663
Pop-Up @ Branches Church,"02/14/2024
9:30 am - 4:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69321
Pop-Up @ Branches Church,"02/15/2024
9:30 am - 4:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69322
UW Health Sciences,"02/16/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71630
Orangetheory Fitness Bothell,"02/16/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/72665
UW Health Sciences,"02/19/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71631
Pop-Up @ Mount Baker Community Club,"02/19/2024
10:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69128
Pop-Up @ Mount Baker Community Club,"02/20/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69129
Seattle University,"02/20/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/72431
Trilogy at Redmond Ridge,"02/21/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74220
University Unitarian Church,"02/21/2024
12:00 pm - 6:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69053
Pop-Up @ Faith Lutheran Church,"02/22/2024
12:00 pm - 6:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69055
Providence Swedish Ballard,"02/23/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/72273
Overlake Medical Center,"02/26/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74197
Seattle Repertory Theatre,"02/26/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70461
Kaiser Permanente-Capitol Hill Campus,"02/28/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70452
UW Health Sciences,"02/28/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71632
Parklands North Creek,"02/29/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71306
UW Police Department,"02/29/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74945
Phinney Neighborhood Association,"03/01/2024
10:30 am - 4:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71973
Northshore School District,"03/04/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73212
1201 Third Avenue,"03/05/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70462
City of Bellevue,"03/05/2024
9:30 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73601
Westlake Tower,"03/07/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74907
EvergreenHealth Kirkland,"03/08/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70534
UW Health Sciences,"03/08/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71633
One and Two Union Square,"03/11/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70408
