Drive Name,Drive Date/Time,Drive Link
Northshore School District,"03/04/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/73212
Magnolia Community,"03/04/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70449
1201 Third Avenue,"03/05/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70462
Westlake Tower,"03/07/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74907
EvergreenHealth Kirkland,"03/08/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70534
UW Health Sciences,"03/08/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71633
Lily’s Blood Drive,"03/09/2024
10:45 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76166
One and Two Union Square,"03/11/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/70408
Adobe,"03/13/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76290
Bothell Community,"03/13/2024
9:30 am - 3:30 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76187
Sequoyah Electric,"03/14/2024
8:00 am - 2:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76293
UW Health Sciences,"03/15/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71634
UW Health Sciences,"03/18/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71635
Fircrest School - WA State of Social & Health Services Dept,"03/19/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71791
Pop-Up @ Amazon Seattle,"03/21/2024
10:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69095
Holy Family-Kirkland,"03/22/2024
8:00 am - 2:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/74083
Union Hill Church - Redmond,"03/22/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69327
Pop-Up @ Amazon Seattle,"03/22/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/69096
Walgreens Woodinville,"03/23/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76088
Cornerstone Christian Fellowship,"03/25/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76089
Woodinville Unitarian Universalist Church,"03/25/2024
9:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68152
UW Health Sciences,"03/25/2024
10:00 am - 4:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/71636
Woodinville Unitarian Universalist Church,"03/26/2024
9:00 am - 5:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/68153
Providence Swedish Ballard,"03/26/2024
9:00 am - 3:00 pm",https://donate.bloodworksnw.org/donor/schedules/drive_schedule/76080
Bellevue Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/1
North Seattle Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/7
Seattle Central Center,Multiple Dates,https://donate.bloodworksnw.org/donor/schedules/center/10
