Week,Week Type,Start,End,GameId,Game Type,QuestionId,Question,Question Type,Type,StatId,Info,Value
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,1,GC_QUESTION_OVERUNDER,TEXT,Team Stats,,['score'],43
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,2,QUARTERBACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,3,RUNNING BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,4,TIGHT END,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,5,GC_QUESTION_SCORE_FIRST,SWAP,First,,['scoreTeam'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,6,GC_QUESTION_YARD_RECEIVER,TEXT,Player Total,[12],,100
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,7,GC_QUESTION_SACKS,TEXT,Team Stats,,['defSacks'],3
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,8,DEFENSIVE LINE,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,9,LINEBACKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,10,DEFENSIVE BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,11,KICKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,12,GC_QUESTION_DEFENSIVE_SCORE,TEXT,Player Total,[36],,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,0,Thursday Night,13,GC_QUESTION_FGS_MADE,TEXT,Team Stats,,['fgMade'],3
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,1,QUARTERBACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,2,WIDE RECEIVER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,3,TIGHT END,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,4,GC_QUESTION_YARD_RECEIVER,TEXT,Player Total,[12],,100
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,5,GC_QUESTION_YARDS_PASSER,TEXT,Player Total,[0],,300
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,6,DEFENSIVE LINE,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,7,LINEBACKER,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,8,DEFENSIVE BACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,9,GC_QUESTION_MORE_PUNTS,SWAP,Team Compare,,['punts'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,1,Friday Night,10,GC_QUESTION_MOST_OFFENSIVE_PLAYS,SWAP,Team Compare,,['offensivePlays'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,1,QUARTERBACK,ROSTER,,,,
1,REG,2024-08-26T19:00:00Z,2024-09-11T19:00:00Z,2,Sunday,2,RUNNING BACK,ROSTER,,,,
