Week,Week Type,Start,End,GameId,Game Type,QuestionId,Question,Question Type,Type,StatId,Info,Value
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,1,GC_QUESTION_OVERUNDER,TEXT,Team Stats,,['score'],43
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,2,QUARTERBACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,3,RUNNING BACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,4,WIDE RECEIVER,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,5,GC_QUESTION_SCORE_FIRST,SWAP,First,,['scoreTeam'],
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,6,GC_QUESTION_TEAM_PASSING_TOTAL,TEXT,Team Stats,,['passYds'],300
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,7,LINEBACKER,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,8,DEFENSIVE BACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,9,GC_QUESTION_SACKS,TEXT,Team Stats,,['defSacks'],3
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,0,Thursday Night,10,GC_QUESTION_FGS_MADE,TEXT,Team Stats,,['fgMade'],3
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,0,GC_QUESTION_WIN,SWAP,Team Compare,,['score'],
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,1,GC_QUESTION_SCORE_FIRST,SWAP,First,,['scoreTeam'],
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,2,QUARTERBACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,3,RUNNING BACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,4,RUNNING BACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,5,WIDE RECEIVER,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,6,GC_QUESTION_MULTIPLE_TEAMS_RECEIVING,TEXT,Player Total,[12],,100
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,7,GC_QUESTION_MULTIPLE_TEAMS_RUSHING,TEXT,Player Total,[6],,100
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,8,TIGHT END,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,9,DEFENSIVE LINE,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,10,LINEBACKER,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,11,DEFENSIVE BACK,ROSTER,,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,12,GC_QUESTION_OVERTIME,TEXT,Overtime,,,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,13,GC_QUESTION_BLOCKED_KICKS,TEXT,Player Total,"[31, 32, 33]",,
2,REG,2024-09-11T19:00:00Z,2024-09-18T19:00:00Z,1,Sunday,14,KICKER,ROSTER,,,,
